0
0 1
7 3580 1
7 1825 1
7 8306 1
7 1494 1
7 2456 1
7 1272 1
7 4913 1
7 2209 1
7 3673 1
7 8369 1
7 1269 1
7 7265 1
7 29 1
7 2166 1
7 3615 1
7 9777 1
8 1337 1
8 4631 1
8 1449 1
8 2338 1
8 8 1
8 867 1
8 251 1
8 7659 1
8 11258 1
8 3503 1
8 4874 1
8 7232 1
8 1776 1
8 3870 1
8 2052 1
8 12614 1
8 13530 1
9 6663 1
9 3237 1
9 537 1
9 4915 1
9 2525 1
9 82 1
9 1191 1
9 4534 1
9 1541 1
9 824 1
9 5793 1
9 3943 1
9 5629 1
9 374 1
9 475 1
9 9 1
9 1322 1
9 2980 1
9 4936 1
9 1161 1
9 715 1
9 1262 1
9 5316 1
9 4683 1
9 916 1
10 6433 1
10 5308 1
10 3872 1
10 12235 1
10 879 1
10 6473 1
10 2662 1
10 13228 1
10 10 1
10 3756 1
10 9694 1
10 4579 1
10 891 1
10 1442 1
10 3875 1
10 2841 1
10 13461 1
10 1829 1
10 12676 1
10 7882 1
10 9007 1
10 13193 1
10 427 1
10 12055 1
10 5162 1
10 1078 1
10 4531 1
10 4444 1
10 3245 1
10 479 1
10 6001 1
10 5863 1
10 4890 1
10 5405 1
10 4688 1
10 3803 1
10 3484 1
10 2080 1
10 564 1
10 11476 1
10 3013 1
10 10072 1
10 867 1
10 4107 1
10 5873 1
10 2250 1
10 960 1
10 8289 1
10 2381 1
10 2853 1
10 8994 1
10 5549 1
10 3153 1
10 12222 1
10 1610 1
10 4075 1
10 8913 1
10 9356 1
10 3203 1
10 5494 1
10 3331 1
10 7895 1
10 1207 1
10 5199 1
10 4150 1
10 8011 1
10 6321 1
10 2139 1
10 12790 1
10 3343 1
10 6193 1
10 631 1
10 1567 1
10 5829 1
10 6691 1
10 3117 1
10 280 1
10 8104 1
10 4408 1
10 6909 1
10 8774 1
10 9476 1
10 11556 1
10 10908 1
10 3347 1
10 2373 1
10 6402 1
10 2106 1
10 4159 1
10 8 1
10 8525 1
10 8412 1
10 6679 1
10 12908 1
10 11969 1
10 8094 1
10 3919 1
10 2909 1
10 10913 1
10 4349 1
10 4660 1
10 5632 1
10 4778 1
10 2789 1
10 6952 1
10 8826 1
11 11 1
11 6386 1
11 10499 1
11 6869 1
11 455 1
11 7261 1
11 2829 1
11 1092 1
11 10583 1
11 6273 1
11 7976 1
11 408 1
11 5432 1
11 744 1
11 1004 1
11 8880 1
11 246 1
11 569 1
11 4345 1
11 3090 1
11 317 1
11 2668 1
11 4418 1
11 4526 1
11 9504 1
11 3615 1
11 3317 1
11 945 1
12 6884 1
12 2042 1
12 828 1
12 1662 1
12 310 1
12 746 1
12 4865 1
12 4394 1
12 1396 1
12 453 1
12 667 1
12 1270 1
12 109 1
12 221 1
12 95 1
12 3960 1
12 7500 1
12 5849 1
12 1705 1
12 552 1
12 2078 1
12 7918 1
12 1001 1
12 10270 1
12 784 1
12 12 1
13 503 1
13 1516 1
13 66 1
13 13 1
13 552 1
13 4508 1
13 7919 1
13 9113 1
13 2447 1
13 166 1
13 5031 1
13 4751 1
13 9121 1
13 6016 1
13 3493 1
13 5918 1
13 196 1
13 1873 1
13 5134 1
13 6399 1
13 6689 1
13 10870 1
13 3009 1
13 326 1
14 65 1
14 5004 1
14 11577 1
14 858 1
14 3007 1
14 4195 1
14 5754 1
14 12175 1
14 7450 1
14 6579 1
14 2460 1
14 232 1
14 4254 1
14 3553 1
14 2223 1
14 1098 1
14 14 1
14 3763 1
14 4238 1
14 1772 1
15 244 1
15 15 1
15 4828 1
15 7517 1
15 3933 1
15 210 1
15 247 1
15 295 1
15 2938 1
15 556 1
15 1293 1
15 784 1
15 552 1
15 430 1
15 1126 1
15 2056 1
15 4099 1
15 704 1
15 5298 1
15 1768 1
15 6867 1
15 111 1
15 4593 1
15 263 1
15 3080 1
15 691 1
15 634 1
15 2902 1
15 4222 1
15 695 1
15 854 1
15 3482 1
15 1580 1
16 4313 1
16 10837 1
16 3011 1
16 8271 1
16 1138 1
16 5885 1
16 4164 1
16 177 1
16 3012 1
16 3579 1
16 6585 1
16 16 1
16 11284 1
16 9861 1
16 4734 1
16 12935 1
16 3656 1
16 4809 1
16 2350 1
16 3281 1
16 11634 1
16 7889 1
16 6759 1
16 2364 1
16 5846 1
16 3072 1
16 1868 1
16 7947 1
16 4209 1
16 4950 1
16 1774 1
16 2046 1
16 8154 1
17 5549 1
17 7320 1
17 1929 1
17 4865 1
17 6035 1
17 3701 1
17 66 1
17 4315 1
17 8532 1
17 271 1
17 742 1
17 9271 1
17 4598 1
17 12858 1
17 3412 1
17 6027 1
17 5115 1
17 1166 1
17 5649 1
17 211 1
17 4560 1
17 1576 1
17 3990 1
17 6597 1
17 6248 1
17 7257 1
17 9196 1
17 10223 1
17 8235 1
17 1563 1
17 4633 1
17 186 1
17 4291 1
17 4823 1
17 3295 1
17 17 1
17 1935 1
17 6293 1
17 9648 1
17 1624 1
17 2033 1
17 2179 1
17 2880 1
17 6021 1
17 10187 1
17 2424 1
17 548 1
18 6843 1
18 4432 1
18 2981 1
18 10387 1
18 2864 1
18 2300 1
18 8402 1
18 3506 1
18 135 1
18 10015 1
18 1287 1
18 6714 1
18 3069 1
18 6498 1
18 5234 1
18 9263 1
18 9078 1
18 477 1
18 9917 1
18 2609 1
18 12803 1
18 7804 1
18 10880 1
18 6375 1
18 6801 1
18 676 1
18 1988 1
18 7052 1
18 9916 1
18 2189 1
18 11048 1
18 6805 1
18 10366 1
18 397 1
18 5393 1
18 6354 1
18 7408 1
18 2460 1
18 18 1
18 10037 1
18 3885 1
18 2170 1
18 8948 1
18 3763 1
18 13407 1
18 5642 1
18 732 1
18 10431 1
18 65 1
18 526 1
18 2493 1
18 3892 1
18 628 1
18 1895 1
18 4094 1
19 2003 1
19 1432 1
19 971 1
19 8694 1
19 1543 1
19 2665 1
19 1191 1
19 23 1
19 5345 1
19 2990 1
19 2449 1
19 7764 1
19 5050 1
19 2559 1
19 2463 1
19 3146 1
19 96 1
19 19 1
19 8632 1
19 3120 1
19 10264 1
20 20 1
20 6617 1
20 6084 1
20 694 1
20 6607 1
20 5565 1
20 7881 1
20 2166 1
20 788 1
20 2214 1
20 4637 1
20 3335 1
20 1718 1
20 11828 1
20 487 1
20 1505 1
20 2326 1
20 8711 1
21 1172 1
21 3722 1
21 6342 1
21 12087 1
21 911 1
21 4923 1
21 1272 1
21 3409 1
21 996 1
21 5998 1
21 1034 1
21 6069 1
21 1481 1
21 3175 1
21 1890 1
21 82 1
21 2244 1
21 1582 1
21 3027 1
21 966 1
21 1264 1
21 3280 1
21 162 1
21 13767 1
21 3431 1
21 5630 1
21 1768 1
21 210 1
21 1767 1
21 4546 1
21 4654 1
21 5377 1
21 7946 1
21 1105 1
21 5248 1
21 405 1
21 1293 1
21 6403 1
21 29 1
21 10657 1
21 1658 1
21 4476 1
21 147 1
21 1657 1
21 10573 1
21 1069 1
21 8986 1
21 535 1
21 5882 1
21 1123 1
21 297 1
21 141 1
21 4201 1
21 4029 1
21 4664 1
21 1541 1
21 72 1
21 349 1
21 4593 1
21 3652 1
21 695 1
21 170 1
21 7422 1
21 5657 1
21 808 1
21 4590 1
21 327 1
21 794 1
21 3424 1
21 11558 1
21 7784 1
21 8200 1
21 11440 1
21 854 1
21 21 1
21 12951 1
21 3828 1
21 5763 1
21 1248 1
21 216 1
21 8000 1
21 1017 1
21 4600 1
21 686 1
21 8121 1
21 3099 1
22 2447 1
22 1165 1
22 1907 1
22 3926 1
22 465 1
22 1272 1
22 1049 1
22 912 1
22 1884 1
22 22 1
22 3978 1
22 4855 1
22 3033 1
22 6247 1
22 1657 1
22 1646 1
22 1764 1
22 6119 1
22 2175 1
22 5525 1
22 7243 1
23 585 1
23 11126 1
23 6246 1
23 2354 1
23 4275 1
23 6141 1
23 3315 1
23 23 1
23 4281 1
23 3586 1
23 1332 1
23 367 1
23 6757 1
23 1082 1
23 3979 1
23 6061 1
23 929 1
23 2786 1
23 8719 1
23 276 1
23 299 1
23 2060 1
23 3185 1
23 605 1
23 5016 1
23 3099 1
23 2997 1
23 3033 1
24 82 1
24 1429 1
24 909 1
24 1955 1
24 2823 1
24 2603 1
24 20 1
24 3039 1
24 5988 1
24 3758 1
24 2967 1
24 10224 1
24 537 1
24 9518 1
24 4160 1
24 8909 1
24 6661 1
24 1586 1
24 7949 1
24 885 1
24 24 1
24 2767 1
24 1353 1
24 4446 1
24 3524 1
24 3395 1
24 1047 1
24 1937 1
24 7839 1
24 3532 1
24 3406 1
24 3253 1
24 360 1
24 968 1
24 1172 1
25 6813 1
25 3773 1
25 116 1
25 5977 1
25 75 1
25 25 1
25 11849 1
25 3757 1
25 5258 1
25 9075 1
25 11448 1
25 3682 1
25 9045 1
25 1716 1
25 11685 1
25 2460 1
25 9720 1
25 2693 1
25 2485 1
25 65 1
25 3609 1
25 1150 1
25 6112 1
25 2745 1
25 4009 1
25 4612 1
25 3588 1
25 6160 1
25 7572 1
25 4552 1
25 7904 1
25 127 1
25 12749 1
25 2385 1
25 1758 1
25 8229 1
26 6669 1
26 1543 1
26 5315 1
26 5011 1
26 8384 1
26 1983 1
26 4725 1
26 4404 1
26 971 1
26 7556 1
26 8122 1
26 9508 1
26 1329 1
26 1026 1
26 7770 1
26 798 1
26 11415 1
26 56 1
26 2275 1
26 476 1
26 3592 1
26 2828 1
26 6231 1
26 3940 1
26 266 1
26 1438 1
26 756 1
26 5412 1
26 1372 1
26 186 1
26 3925 1
26 2559 1
26 2650 1
26 484 1
26 7029 1
26 896 1
26 1338 1
26 1278 1
26 196 1
26 5979 1
26 3037 1
26 26 1
26 10032 1
26 981 1
26 1093 1
26 2175 1
26 50 1
26 11699 1
27 7945 1
27 2559 1
27 3431 1
27 1818 1
27 1995 1
27 2933 1
27 912 1
27 7563 1
27 1658 1
27 5522 1
27 4222 1
27 87 1
27 2973 1
27 517 1
27 884 1
27 475 1
27 1473 1
27 2904 1
27 8040 1
27 3613 1
27 6832 1
27 6247 1
27 1165 1
27 1744 1
27 348 1
27 3985 1
27 7648 1
27 3466 1
27 7933 1
27 8570 1
27 9825 1
27 6296 1
27 3586 1
27 1428 1
27 263 1
27 5565 1
27 478 1
27 2587 1
27 3027 1
27 150 1
27 2142 1
27 3026 1
27 2335 1
27 2967 1
27 185 1
27 702 1
27 878 1
27 1368 1
27 1529 1
27 1710 1
27 817 1
27 405 1
27 6175 1
27 2902 1
27 6977 1
27 9508 1
27 3772 1
27 936 1
27 6153 1
27 6791 1
27 6119 1
27 342 1
27 503 1
27 173 1
27 2707 1
27 465 1
27 1372 1
27 1849 1
27 1657 1
27 573 1
27 3769 1
27 85 1
27 384 1
27 1912 1
27 3575 1
27 3552 1
27 601 1
27 1082 1
27 537 1
27 1457 1
27 612 1
27 4048 1
27 346 1
27 9669 1
27 3691 1
27 2606 1
27 4546 1
27 441 1
27 365 1
27 82 1
27 3220 1
27 2354 1
27 5319 1
27 15 1
27 808 1
27 1983 1
27 6239 1
27 6645 1
27 194 1
27 73 1
27 3038 1
27 798 1
27 2923 1
27 3033 1
27 9228 1
27 133 1
27 1768 1
27 4828 1
27 8611 1
27 8223 1
27 3254 1
27 10265 1
27 1753 1
27 4253 1
27 8619 1
27 5683 1
27 6455 1
27 4628 1
27 8909 1
27 4333 1
27 476 1
27 5883 1
27 216 1
27 662 1
27 3406 1
27 2035 1
27 2412 1
27 4100 1
27 3634 1
27 6014 1
27 111 1
27 3961 1
27 556 1
27 9070 1
27 370 1
27 756 1
27 2457 1
27 8010 1
27 672 1
27 61 1
27 3858 1
27 889 1
27 8632 1
27 2499 1
27 7155 1
27 266 1
27 81 1
27 966 1
27 3861 1
27 1582 1
27 2208 1
27 1527 1
27 3185 1
27 10089 1
27 9298 1
27 2075 1
27 1602 1
27 7764 1
27 846 1
27 1272 1
27 7873 1
27 10126 1
27 1642 1
27 8990 1
27 27 1
27 6913 1
27 996 1
27 1195 1
27 1877 1
27 5480 1
27 6522 1
27 4855 1
27 1438 1
27 213 1
27 5457 1
27 1395 1
27 2793 1
27 72 1
27 2604 1
27 4666 1
27 4819 1
27 489 1
27 8999 1
27 3159 1
27 1681 1
27 1699 1
27 2119 1
27 2702 1
27 1587 1
27 1052 1
27 10451 1
27 8088 1
27 5288 1
27 254 1
27 4722 1
27 8099 1
27 1000 1
27 5398 1
27 10124 1
27 9545 1
27 6194 1
27 295 1
27 3933 1
27 6220 1
27 692 1
27 3639 1
27 1718 1
27 1393 1
27 7141 1
27 4711 1
27 2729 1
27 3576 1
27 4132 1
27 5364 1
27 368 1
27 9792 1
27 7733 1
27 2263 1
27 9693 1
27 6712 1
27 4567 1
27 1936 1
27 1305 1
27 9452 1
27 8440 1
27 6595 1
27 1715 1
27 6446 1
27 193 1
27 553 1
27 1586 1
27 6341 1
27 4600 1
27 4224 1
27 3424 1
27 1274 1
27 3216 1
27 6846 1
28 1891 1
28 6733 1
28 6210 1
28 1726 1
28 5593 1
28 5446 1
28 12026 1
28 5161 1
28 2142 1
28 1410 1
28 28 1
28 3562 1
28 3167 1
28 5190 1
28 3027 1
28 7668 1
28 4197 1
28 2095 1
28 13239 1
28 3462 1
28 3812 1
28 11922 1
28 2517 1
28 1037 1
28 1204 1
28 8605 1
28 6466 1
28 5481 1
28 10425 1
28 7328 1
29 7524 1
29 29 1
29 12434 1
29 2842 1
29 1848 1
29 1082 1
29 4828 1
29 7890 1
29 5610 1
29 2079 1
29 1191 1
29 9941 1
29 3961 1
29 7468 1
29 1646 1
29 2604 1
29 2830 1
29 8860 1
29 4096 1
29 1907 1
29 1305 1
29 1873 1
29 1715 1
29 10164 1
29 10209 1
30 7183 1
30 61 1
30 1856 1
30 1340 1
30 1372 1
30 1182 1
30 884 1
30 970 1
30 1270 1
30 10297 1
30 9503 1
30 174 1
30 11530 1
30 3033 1
30 476 1
30 7462 1
30 4913 1
30 2527 1
30 1885 1
30 2211 1
30 5644 1
30 213 1
30 693 1
30 3933 1
30 1884 1
30 195 1
30 854 1
30 4281 1
30 123 1
30 968 1
30 8490 1
30 2923 1
30 992 1
30 30 1
30 1527 1
30 8484 1
30 148 1
30 484 1
30 1345 1
30 384 1
30 9877 1
30 10428 1
30 1519 1
30 81 1
30 20 1
30 3044 1
30 3566 1
30 788 1
30 4956 1
30 580 1
30 7249 1
30 406 1
30 1744 1
30 4222 1
30 72 1
30 1368 1
30 10384 1
30 3351 1
30 1432 1
30 1582 1
30 2023 1
30 3769 1
31 2424 1
31 5219 1
31 23 1
31 2798 1
31 1094 1
31 8147 1
31 3854 1
31 1826 1
31 6207 1
31 1259 1
31 1728 1
31 1221 1
31 1060 1
31 2824 1
31 953 1
31 1359 1
31 5707 1
31 8068 1
31 783 1
31 2931 1
31 3834 1
31 6691 1
31 920 1
31 9942 1
31 3333 1
31 5064 1
31 664 1
31 8913 1
31 7034 1
31 3443 1
31 7718 1
31 4531 1
31 1143 1
31 891 1
31 5834 1
31 5476 1
31 1377 1
31 4625 1
31 3233 1
31 2021 1
32 6145 1
32 9307 1
32 2584 1
32 9977 1
32 2868 1
32 469 1
32 5839 1
32 7106 1
32 1099 1
32 3281 1
32 3656 1
32 3229 1
32 4849 1
32 8563 1
32 3705 1
32 31 1
32 5660 1
32 3955 1
32 177 1
32 351 1
32 6540 1
32 1038 1
32 3011 1
32 7224 1
32 8560 1
32 3675 1
32 4697 1
32 12250 1
32 6585 1
33 7484 1
33 3666 1
33 13306 1
33 4491 1
33 2326 1
33 2462 1
33 177 1
33 1686 1
33 7726 1
33 2646 1
33 20 1
33 3289 1
33 6393 1
33 2786 1
33 3455 1
33 5597 1
33 12591 1
33 8724 1
33 1527 1
33 8281 1
33 2896 1
33 1237 1
33 5452 1
33 2809 1
33 5699 1
33 2283 1
33 5133 1
33 9856 1
33 3055 1
33 191 1
33 1176 1
33 3166 1
33 2148 1
33 8089 1
33 8508 1
33 1403 1
33 10235 1
33 12577 1
33 11263 1
33 5606 1
33 106 1
33 4605 1
33 343 1
33 7061 1
33 2037 1
33 3830 1
33 9483 1
33 8566 1
33 13732 1
33 4871 1
33 2818 1
33 808 1
33 4940 1
33 2833 1
33 5996 1
33 7747 1
33 9975 1
33 6142 1
33 3544 1
33 8137 1
33 8665 1
33 10242 1
33 1937 1
33 1283 1
33 4442 1
33 4643 1
33 4543 1
33 3992 1
33 1231 1
33 4969 1
33 7394 1
33 2243 1
33 5997 1
33 1566 1
33 4564 1
33 13566 1
33 10489 1
33 11609 1
33 5669 1
33 2054 1
33 9920 1
33 2808 1
33 32 1
33 3826 1
33 194 1
33 4281 1
33 1836 1
33 10051 1
33 900 1
33 9664 1
33 2202 1
33 8344 1
34 873 1
34 1527 1
34 1285 1
34 4682 1
34 11068 1
34 4903 1
34 4936 1
34 11287 1
34 2212 1
34 4655 1
34 5763 1
34 3216 1
34 490 1
34 7339 1
34 1160 1
34 56 1
34 7155 1
34 201 1
34 6108 1
34 4534 1
34 3049 1
34 2333 1
34 1198 1
34 210 1
34 3608 1
34 262 1
34 2761 1
34 3769 1
34 9660 1
34 747 1
34 9339 1
34 5922 1
34 689 1
34 9697 1
34 11156 1
34 119 1
34 361 1
34 172 1
34 12882 1
34 970 1
34 618 1
34 911 1
34 4427 1
34 4972 1
34 2263 1
34 2525 1
34 4122 1
34 8942 1
34 705 1
34 2124 1
34 1248 1
34 2150 1
34 184 1
34 2423 1
34 849 1
34 1541 1
34 33 1
34 3057 1
34 4371 1
34 3077 1
34 1585 1
34 1120 1
34 5666 1
35 2915 1
35 1867 1
35 3615 1
35 7894 1
35 2260 1
35 920 1
35 6815 1
35 359 1
35 9349 1
35 7972 1
35 1690 1
35 64 1
35 248 1
35 1092 1
35 2680 1
35 5063 1
35 1308 1
35 53 1
35 252 1
35 597 1
35 1256 1
35 3887 1
35 7988 1
35 182 1
35 600 1
35 11438 1
35 6523 1
35 4273 1
35 2608 1
35 7259 1
35 7781 1
35 34 1
35 5476 1
35 1430 1
35 970 1
35 7646 1
35 1012 1
35 3721 1
35 633 1
35 4326 1
35 11612 1
35 4391 1
35 3577 1
35 3998 1
35 6023 1
35 5376 1
35 1178 1
35 4866 1
35 2091 1
35 7576 1
35 4474 1
35 7860 1
35 1813 1
35 117 1
35 7600 1
35 5 1
35 2418 1
35 6059 1
35 1360 1
35 1343 1
35 3345 1
35 1498 1
35 7131 1
35 443 1
35 5628 1
35 8387 1
35 7014 1
35 284 1
35 4199 1
35 2849 1
35 4572 1
35 10395 1
36 1508 1
36 10981 1
36 7637 1
36 1 1
36 3342 1
36 12016 1
36 6393 1
36 35 1
36 654 1
36 9000 1
36 9448 1
36 8076 1
36 7119 1
36 1290 1
36 6093 1
36 7565 1
36 1066 1
36 4082 1
36 12044 1
37 1107 1
37 12486 1
37 4086 1
37 3825 1
37 135 1
37 477 1
37 5705 1
37 5271 1
37 2460 1
37 2964 1
37 12155 1
37 1770 1
37 2485 1
37 36 1
37 6276 1
37 5977 1
37 7572 1
37 4317 1
37 8323 1
37 9991 1
37 7901 1
37 2458 1
37 397 1
37 6396 1
38 7388 1
38 25 1
38 8462 1
38 10422 1
38 14 1
38 10530 1
38 3600 1
38 7260 1
38 5732 1
38 775 1
38 5286 1
38 578 1
38 4416 1
38 10897 1
38 3226 1
38 8762 1
38 974 1
38 1107 1
38 8680 1
38 4403 1
38 11685 1
38 8471 1
38 3886 1
38 6354 1
38 4721 1
38 1374 1
38 2541 1
38 8022 1
38 10622 1
38 653 1
38 2883 1
38 4623 1
38 1439 1
38 7804 1
38 5257 1
38 12763 1
38 1759 1
38 3647 1
38 4630 1
38 1230 1
38 9249 1
38 10620 1
38 2058 1
38 7262 1
38 5067 1
38 4031 1
38 9959 1
38 12464 1
38 529 1
38 11922 1
38 1634 1
38 3780 1
38 7226 1
38 5653 1
38 9415 1
38 339 1
38 10768 1
38 1027 1
38 9280 1
38 1090 1
38 11345 1
38 6619 1
38 10064 1
38 1236 1
38 8435 1
38 3754 1
38 8907 1
38 2217 1
38 5705 1
38 2646 1
38 7103 1
38 6147 1
38 4604 1
38 6997 1
38 10817 1
38 12271 1
38 3885 1
38 1389 1
38 6733 1
38 11077 1
38 7675 1
38 3892 1
38 9296 1
38 6375 1
38 7090 1
38 11393 1
38 4278 1
38 9211 1
38 2693 1
38 7164 1
38 1152 1
38 10093 1
38 10181 1
38 12442 1
38 2554 1
38 2322 1
38 5473 1
38 2479 1
38 3881 1
38 318 1
38 544 1
38 1783 1
38 10366 1
38 8960 1
38 7572 1
38 550 1
38 6665 1
38 6640 1
38 4432 1
38 7852 1
38 895 1
38 4017 1
38 3094 1
38 3852 1
38 3855 1
38 1015 1
38 1485 1
38 1446 1
38 6687 1
38 9075 1
38 2558 1
38 5852 1
38 9748 1
38 11196 1
38 6813 1
38 3053 1
38 1398 1
38 526 1
38 3953 1
38 1214 1
38 4050 1
38 10037 1
38 6588 1
38 1003 1
38 5446 1
38 3163 1
38 1341 1
38 4780 1
38 9254 1
38 4411 1
38 11963 1
38 3813 1
38 1986 1
38 4057 1
38 708 1
38 5562 1
38 8705 1
38 7003 1
38 3075 1
38 5933 1
38 7647 1
38 11048 1
38 3574 1
38 572 1
38 6596 1
38 37 1
38 4195 1
38 9148 1
38 1267 1
38 1150 1
38 9514 1
38 2286 1
38 11648 1
38 8057 1
38 1071 1
38 11692 1
38 6034 1
38 3620 1
38 4040 1
38 5700 1
38 499 1
38 6686 1
38 7453 1
38 6388 1
38 5109 1
38 6819 1
38 447 1
38 6432 1
38 6029 1
38 2874 1
38 2234 1
38 5985 1
38 343 1
38 8456 1
38 6397 1
38 3706 1
38 9926 1
38 6183 1
38 851 1
38 4111 1
38 3831 1
38 2589 1
38 713 1
38 1552 1
38 135 1
38 3531 1
38 4135 1
38 7824 1
38 2236 1
38 4141 1
38 293 1
38 5986 1
38 1891 1
38 6761 1
38 4400 1
38 6466 1
38 11642 1
38 9984 1
38 2451 1
38 1385 1
38 8494 1
38 5952 1
38 2095 1
38 8806 1
39 3693 1
39 9656 1
39 847 1
39 1930 1
39 2730 1
39 1801 1
39 4164 1
39 1289 1
39 7302 1
39 31 1
39 11579 1
39 4023 1
39 4327 1
39 4152 1
39 38 1
39 8996 1
39 11532 1
40 756 1
40 702 1
40 3791 1
40 1034 1
40 1393 1
40 7308 1
40 2644 1
40 2266 1
40 5480 1
40 6173 1
40 7431 1
40 1874 1
40 2208 1
40 1912 1
40 3219 1
40 3418 1
40 4744 1
40 7945 1
40 233 1
40 1473 1
40 172 1
40 2354 1
40 11385 1
40 784 1
40 2729 1
40 6056 1
40 5701 1
40 484 1
40 1884 1
40 4333 1
40 4272 1
40 3961 1
40 11443 1
40 1475 1
40 2115 1
40 2083 1
40 11610 1
40 2482 1
40 896 1
40 889 1
40 6014 1
40 5805 1
40 7278 1
40 2433 1
40 1241 1
40 1429 1
40 5683 1
40 2016 1
40 1873 1
40 2764 1
40 5576 1
40 1757 1
40 7583 1
40 10117 1
40 7648 1
40 11382 1
40 1597 1
40 5323 1
40 6914 1
40 1753 1
40 8013 1
40 4835 1
40 2410 1
40 1483 1
40 2794 1
40 7382 1
40 596 1
40 3592 1
40 2667 1
40 3933 1
40 2871 1
40 377 1
40 3997 1
40 6645 1
40 2542 1
40 1368 1
40 9751 1
40 3816 1
40 2494 1
40 594 1
40 213 1
40 186 1
40 81 1
40 1414 1
40 4828 1
40 4534 1
40 1240 1
40 424 1
40 1069 1
40 4215 1
40 4700 1
40 2262 1
40 4930 1
40 5659 1
40 7026 1
40 7146 1
40 854 1
40 5242 1
40 1948 1
40 4196 1
40 3144 1
40 911 1
40 452 1
40 2953 1
40 2119 1
40 621 1
40 1971 1
40 4529 1
40 2192 1
40 1144 1
40 1332 1
40 817 1
40 2974 1
40 3275 1
40 8240 1
40 796 1
40 8526 1
40 2273 1
40 2214 1
40 2831 1
40 5478 1
40 2550 1
40 3651 1
40 5076 1
40 575 1
40 5979 1
40 1202 1
40 4891 1
40 612 1
40 26 1
40 6006 1
40 751 1
40 2878 1
40 2979 1
40 1432 1
40 8990 1
40 184 1
40 3032 1
40 201 1
40 734 1
40 5837 1
40 5565 1
40 268 1
40 1172 1
40 5908 1
40 3576 1
40 1194 1
40 4100 1
40 3575 1
40 4160 1
40 9460 1
40 1832 1
40 4110 1
40 6042 1
40 824 1
40 2525 1
40 5500 1
40 2570 1
40 798 1
40 2450 1
40 7871 1
40 3254 1
40 3355 1
40 1082 1
40 5404 1
40 3969 1
40 7744 1
40 7304 1
40 349 1
